tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0244947,movie,A.K.A.: It's a Wiley World!,A.K.A.: It's a Wiley World!,0,2003.0,,86,"Comedy,Music"
tt0244970,movie,Someone Like You,Someone Like You...,0,2001.0,,97,"Comedy,Romance"
tt0245036,movie,The Cat Killers,The Cat Killers,0,2000.0,,90,Comedy
tt0245046,movie,Charlotte Gray,Charlotte Gray,0,2001.0,,121,"Drama,Romance,Thriller"
tt0245062,movie,The Magnet,Comme un aimant,0,2000.0,,90,"Crime,Drama"
tt0245090,movie,Edges of the Lord,Edges of the Lord,0,2001.0,,98,"Crime,Drama,Romance"
tt0245095,movie,The Enemy,The Enemy,0,2001.0,,94,"Action,Crime,Thriller"
tt0245115,movie,The Fluffer,The Fluffer,0,2001.0,,95,"Comedy,Drama,Romance"
tt0245120,movie,The Forsaken,The Forsaken,0,2001.0,,90,"Action,Horror,Thriller"
tt0245157,movie,Zus & Zo,Zus & zo,0,2001.0,,106,"Comedy,Fantasy,Romance"
tt0245171,movie,Invincible,Invincible,0,2001.0,,133,"Drama,War"
tt0245238,movie,Lost and Delirious,Lost and Delirious,0,2001.0,,103,"Drama,Romance"
tt0245276,movie,The Profession of Arms,Il mestiere delle armi,0,2001.0,,105,"Drama,History,War"
tt0245294,movie,Moonlight,Moonlight,0,2002.0,,90,Thriller
tt0245299,movie,The Mumbo Jumbo,The Mumbo Jumbo,0,2000.0,,82,Comedy
tt0245317,movie,The Next Big Thing,The Next Big Thing,0,2001.0,,87,"Comedy,Drama,Romance"
tt0245341,movie,P.S. Your Cat Is Dead!,P.S. Your Cat Is Dead!,0,2002.0,,92,Comedy
tt0245348,movie,Pasty Faces,Pasty Faces,0,2000.0,,85,Comedy
tt0245350,movie,The Pearl,The Pearl,0,2004.0,,115,Drama
tt0245356,movie,Perfume,Perfume,0,2001.0,,106,Drama
tt0245407,movie,Crush,Crush,0,2001.0,,108,"Comedy,Drama,Romance"
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001.0,,125,"Adventure,Animation,Family"
tt0245438,movie,Prank,Shoe Shine Boys,0,2000.0,,90,Comedy
tt0245479,movie,Just a Kiss,Just a Kiss,0,2002.0,,89,"Comedy,Drama,Romance"
tt0245501,movie,Things Behind the Sun,Things Behind the Sun,0,2001.0,,120,"Drama,Music"
tt0245522,movie,Cruel Game,Cruel Game,0,2002.0,,84,"Drama,Romance"
tt0245562,movie,Windtalkers,Windtalkers,0,2002.0,,134,"Action,Drama,War"
tt0245573,movie,XX/XY,XX/XY,0,2002.0,,91,"Drama,Romance"
tt0245574,movie,And Your Mother Too,Y tu mamá también,0,2001.0,,106,Drama
tt0245582,movie,When I Fall in Love... with Both,Yüeliang de mimi,0,2000.0,,115,"Drama,Romance"
tt0245634,movie,Jack the Dog,Jack the Dog,0,2001.0,,85,"Comedy,Drama"
tt0245674,movie,Thir13en Ghosts,Thir13en Ghosts,0,2001.0,,91,"Fantasy,Horror"
tt0245686,movie,Joe Dirt,Joe Dirt,0,2001.0,,91,"Adventure,Comedy,Drama"
tt0245712,movie,Amores Perros,Amores perros,0,2000.0,,154,"Drama,Thriller"
tt0245724,movie,Big Wind on Campus,Artie,0,2000.0,,89,Comedy
tt0245759,movie,Behind the Seams,Behind the Seams,0,2000.0,,92,Romance
tt0245799,movie,Rage of the Innocents,Rage of the Innocents,0,2001.0,,93,"Action,Sci-Fi,Thriller"
tt0245803,movie,Bulletproof Monk,Bulletproof Monk,0,2003.0,,104,"Action,Comedy,Fantasy"
tt0245825,movie,Chal Mere Bhai,Chal Mere Bhai,0,2000.0,,136,"Comedy,Romance"
tt0245837,movie,Chunhyang,Chunhyangdyun,0,2000.0,,137,"Drama,Musical,Romance"
tt0245844,movie,The Count of Monte Cristo,The Count of Monte Cristo,0,2002.0,,131,"Action,Adventure,Drama"
tt0245866,movie,Devil's Prey,Devil's Prey,0,2001.0,,88,"Horror,Thriller"
tt0245891,movie,Extremedays,Extremedays,0,2001.0,,93,"Action,Adventure,Comedy"
tt0245904,movie,Forgive Me Father,Forgive Me Father,0,2001.0,,138,"Crime,Drama,Mystery"
tt0245905,movie,Four Jacks,Four Jacks,0,2001.0,,92,"Mystery,Thriller"
tt0245910,movie,Cheap Smokes,Ftina tsigara,0,2000.0,,85,"Comedy,Romance"
tt0245929,movie,Devils on the Doorstep,Guizi lai le,0,2000.0,,139,"Comedy,Drama,War"
tt0246000,movie,Killer Instinct,Killer Instinct,0,2001.0,,88,"Horror,Thriller"
tt0246002,movie,Kingdom Come,Kingdom Come,0,2001.0,,94,"Comedy,Drama"
tt0246037,movie,Lift,Lift,0,2001.0,,85,"Crime,Drama"
tt0246072,movie,Maze,Maze,0,2000.0,,97,"Drama,Romance"
tt0246076,movie,Metal,Metal,0,2001.0,,90,"Drama,Sci-Fi"
tt0246108,movie,Nailed,Nailed,0,2001.0,,90,"Drama,Romance"
tt0246124,movie,Oliver Twisted,Oliver Twisted,0,2000.0,,90,Horror
tt0246134,movie,Lucky Break,Lucky Break,0,2001.0,,107,"Comedy,Crime,Romance"
tt0246146,movie,En el país de no pasa nada,En el país de no pasa nada,0,2000.0,,91,Comedy
tt0246157,movie,The Pornographer: A Love Story,The Pornographer: A Love Story,0,2004.0,,81,Drama
tt0246197,movie,The Right Girl,The Right Girl,0,2001.0,,76,"Comedy,Romance"
tt0246228,movie,Alex in Wonder,Alex in Wonder,0,2001.0,,96,"Comedy,Drama"
tt0246266,movie,The Blackboard,Takhté siah,0,2000.0,,88,"Drama,War"
tt0246268,movie,Word of Honor,To tama,0,2001.0,,153,"Comedy,Drama"
tt0246278,movie,"Oui, mais...","Oui, mais...",0,2001.0,,104,"Comedy,Drama,Family"
tt0246323,movie,Warpath,Warpath,0,2000.0,,90,Action
tt0246332,movie,Slow Burn,Wilder,0,2000.0,,90,"Action,Crime,Drama"
tt0246404,movie,The 24th Day,The 24th Day,0,2004.0,,92,"Crime,Drama,Thriller"
tt0246405,movie,27 Missing Kisses,27 Missing Kisses,0,2000.0,,98,"Comedy,Drama,Romance"
tt0246409,movie,False Start,False Start,0,2001.0,,90,"Action,Drama,Sport"
tt0246411,movie,Achilles' Love,Achilles' Love,0,2000.0,,94,"Comedy,Romance"
tt0246460,movie,Die Another Day,Die Another Day,0,2002.0,,133,"Action,Adventure,Thriller"
tt0246464,movie,Big Trouble,Big Trouble,0,2002.0,,85,"Comedy,Crime,Thriller"
tt0246498,movie,The City of Lost Souls,Hyôryû-gai,0,2000.0,,103,"Crime,Drama,Thriller"
tt0246500,movie,Who Is Cletis Tout?,Who Is Cletis Tout?,0,2001.0,,92,"Action,Comedy,Crime"
tt0246514,movie,Advertising Rules!,Viktor Vogel - Commercial Man,0,2001.0,,108,"Comedy,Romance"
tt0246544,movie,The Musketeer,The Musketeer,0,2001.0,,104,"Action,Adventure,Romance"
tt0246555,movie,Death of a Dog,Death of a Dog,0,2000.0,,86,Thriller
tt0246578,movie,Donnie Darko,Donnie Darko,0,2001.0,,113,"Drama,Mystery,Sci-Fi"
tt0246592,movie,Dummy,Dummy,0,2002.0,,91,"Comedy,Drama,Romance"
tt0246593,movie,Big Animal,Duze zwierze,0,2000.0,,73,"Comedy,Drama"
tt0246628,movie,Focus,Focus,0,2001.0,,106,"Drama,Romance"
tt0246677,movie,Heaven,Heaven,0,2002.0,,97,"Crime,Drama,Romance"
tt0246719,movie,Julie Walking Home,Julie Walking Home,0,2002.0,,118,"Drama,Romance"
tt0246730,movie,Desperado Square,Kikar Ha-Halomot,0,2001.0,,98,Drama
tt0246765,movie,Lumumba,Lumumba,0,2000.0,,115,"Biography,Drama,History"
tt0246772,movie,Mostly Martha,Bella Martha,0,2001.0,,109,"Comedy,Drama,Romance"
tt0246776,movie,The Mechanism,Mehanizam,0,2000.0,,94,"Action,Crime"
tt0246870,movie,The Prince of the Pacific,Le prince du Pacifique,0,2000.0,,90,"Adventure,Comedy"
tt0246875,movie,Purely Belter,Purely Belter,0,2000.0,,99,"Comedy,Drama"
tt0246890,movie,King Rikki,King Rikki,0,2002.0,,91,Drama
tt0246894,movie,Rollerball,Rollerball,0,2002.0,,98,"Action,Sci-Fi,Sport"
tt0246906,movie,The Season of Men,La Saison des Hommes,0,2000.0,,122,Drama
tt0246965,movie,Sweet Revenge,Sweet Revenge,0,2001.0,,92,Thriller
tt0246989,movie,Tomcats,Tomcats,0,2001.0,,95,Comedy
tt0247061,movie,Hidden Whisper,Xiao bai wu jin ji,0,2000.0,,96,"Animation,Crime,Drama"
tt0247133,movie,The Meeksville Ghost,The Meeksville Ghost,0,2001.0,,95,"Adventure,Drama,Fantasy"
tt0247153,movie,L'affaire Marcorelle,L'affaire Marcorelle,0,2000.0,,96,"Drama,Fantasy,Thriller"
tt0247196,movie,Before Night Falls,Before Night Falls,0,2000.0,,133,"Biography,Drama,Romance"
tt0247199,movie,The Believer,The Believer,0,2001.0,,98,Drama
tt0247254,movie,The Code Conspiracy,The Code Conspiracy,0,2002.0,,97,"Action,Mystery,Thriller"
tt0247294,movie,Divided We Stand,Divided We Stand,0,2000.0,,90,Drama
tt0247303,movie,The Shaft,Down,0,2001.0,,111,"Action,Horror,Mystery"
tt0247389,movie,Green Diggity Dog,Green Diggity Dog,0,2001.0,,97,"Comedy,Crime,Romance"
tt0247419,movie,Ignition,Ignition,0,2001.0,,99,"Action,Drama,Thriller"
tt0247425,movie,In the Bedroom,In the Bedroom,0,2001.0,,131,"Crime,Drama"
tt0247427,movie,In the Shadows,In the Shadows,0,2001.0,,105,"Drama,Thriller"
tt0247444,movie,Juwanna Mann,Juwanna Mann,0,2002.0,,91,"Comedy,Drama,Romance"
tt0247512,movie,The Medicine Show,The Medicine Show,0,2001.0,,102,"Comedy,Drama,Romance"
tt0247586,movie,Nine Queens,Nueve reinas,0,2000.0,,114,"Crime,Drama,Thriller"
tt0247638,movie,The Princess Diaries,The Princess Diaries,0,2001.0,,115,"Comedy,Family,Romance"
tt0247645,movie,The Quickie,The Quickie,0,2001.0,,99,"Crime,Drama"
tt0247745,movie,Super Troopers,Super Troopers,0,2001.0,,100,"Comedy,Crime,Mystery"
tt0247786,movie,"Two Days, Nine Lives","Two Days, Nine Lives",0,2001.0,,94,Drama
tt0247796,movie,Caracas Onto Death,Caracas amor a muerte,0,2000.0,,91,Drama
tt0247823,movie,Women in Film,Women in Film,0,2001.0,,89,"Comedy,Drama"
tt0247887,movie,A Night with Sabrina Love,Una noche con Sabrina Love,0,2000.0,,100,"Comedy,Drama"
tt0247953,movie,El beso que me diste,El beso que me diste,0,2000.0,,91,"Drama,Romance,Thriller"
tt0247992,movie,Dulhan Hum Le Jayenge,Dulhan Hum Le Jayenge,0,2000.0,,158,"Comedy,Drama,Romance"
tt0248017,movie,Forbidden City,Forbidden City,0,2001.0,,118,Drama
tt0248099,movie,The First Timers,Ichigensan,0,2000.0,,122,"Drama,Romance"
tt0248103,movie,The State I Am In,Die innere Sicherheit,0,2000.0,,106,Drama
tt0248110,movie,Invitation,The Invitation,0,2003.0,,85,"Drama,Horror,Thriller"
tt0248123,movie,Julietta,Julietta,0,2001.0,,100,"Drama,Romance"
tt0248126,movie,Kabhi Khushi Kabhie Gham...,Kabhi Khushi Kabhie Gham...,0,2001.0,,210,"Drama,Musical,Romance"
tt0248164,movie,Magik and Rose,Magik and Rose,0,2001.0,,90,Drama
tt0248169,movie,Manna from Heaven,Manna from Heaven,0,2002.0,,119,Comedy
tt0248180,movie,Message in a Cell Phone,Message in a Cell Phone,0,2000.0,,85,Family
tt0248185,movie,Mission Kashmir,Mission Kashmir,0,2000.0,,154,"Action,Drama,Thriller"
tt0248190,movie,No Such Thing,No Such Thing,0,2001.0,,102,"Comedy,Drama,Fantasy"
tt0248254,movie,Old School,Old School,0,2000.0,,88,"Comedy,Crime"
tt0248351,movie,Real Things,Real Things,0,2000.0,,86,"Comedy,Romance"
tt0248409,movie,No More School,Schule,0,2000.0,,99,"Comedy,Drama"
tt0248617,movie,Yaadein...,Yaadein...,0,2001.0,,171,"Drama,Musical,Romance"
tt0248628,movie,Alaska.de,Alaska.de,0,2000.0,,89,"Drama,Romance,Thriller"
tt0248640,movie,Hard Cash,Hard Cash,0,2002.0,,116,"Action,Crime,Thriller"
tt0248661,movie,3 A.M.,3 A.M.,0,2001.0,,92,"Crime,Mystery,Romance"
tt0248667,movie,Ali,Ali,0,2001.0,,157,"Biography,Drama,Sport"
tt0248742,movie,Crash Point Zero,Crash Point Zero,0,2001.0,,93,"Action,Adventure,Drama"
tt0248845,movie,Hedwig and the Angry Inch,Hedwig and the Angry Inch,0,2001.0,,95,"Comedy,Drama,Music"
tt0248925,movie,Jerks,Jerks,0,2000.0,,89,"Drama,Romance"
tt0248966,movie,Love & Support,Love & Support,0,2001.0,,88,"Comedy,Drama"
tt0248974,movie,Ronnie,Ronnie,0,2002.0,,84,Thriller
tt0249081,movie,Tom Thumb,Le petit poucet,0,2001.0,,90,"Drama,Family,Fantasy"
tt0249082,movie,Plan B,Plan B,0,2001.0,,98,"Comedy,Crime,Drama"
tt0249086,movie,Poor Liza,Poor Liza,0,2000.0,,105,Drama
tt0249110,movie,The Rose of the Rascal,Rentun ruusu,0,2001.0,,102,"Biography,Drama,Music"
